--SONS OF ANARCHY                                     ACAO
--DONNIE DARKO                                        DRAMA
--The Lord of the Rings: The Fellowship of the Ring   AVENTURA
--The Lord of the Rings: The Two Towers               AVENTURA
--The Lord of the Rings: The Return of the King       AVENTURA
--I SPIT ON YOUR GRAVE                                VINGANÇA
QUANDO AS LUZES SE APAGAM                           TERROR SOMBRIO
O CHAMADO                                           TERROR SOMBRIO
EXORCISTA                                           TERROR SOMBRIO
GOD FATHER                                          ACAO ANOS 70 MAFIA
GOD FATHER II                                       ACAO ANOS 70 MAFIA
GOD FATHER III                                      ACAO ANOS 70 MAFIA
GODFELOUS                                           ACAO MAFIA REAL
SCARFACE                                            ACAO EPICO
FOREST GUMP                                         HISTORICO EMOCAO
--A PELE QUE HABITO                                   SINISTRO
SCOTT PILGRIM                                       COMEDIA NERD
